Diagnosis,Count,Percentage
ACUTE GASTROENTERITIS,3,2.2%
ACUTE GASTROENTERITIS WITH MILD DEHYDRATION.,2,1.5%
ACUTE GE,2,1.5%
ACUTE GASTROENTERITIS WITH MODERATE DEHYDRATION,2,1.5%
"1. BILATERAL BRONCHOPNEUMONIA ? VIRAL/CHEMICAL PNEUMONITIS - POSSIBLE LYSOL INGESTION/ ASPIRATION/PULMONARY EDEMA WITH TYPE 1 RESPIRATORY FAILURE (RESOLVED) WITH MODERATE PAH
2. HYPOKALEMIA - CORRECTED
3. ACUTE GASTROENTERITIS - RESOLVED
4. GRADE 1 BED SORE 
5. S/P B/L TOTAL KNEE REPLACEMENT ( 2016 )",1,0.7%
"1. OBSTRUCTIVE SLEEP APNEA ( MILD )
2. GASTRO - ESOPHAGEAL REFLUX DISEASE
3. ANXIETY DISORDER",1,0.7%
"1. MICROBIOLOGICALLY CONFIRMED EXTRA PULMONARY TUBERCULOSIS - ABDOMINAL TUBERCULOSIS - RIFAMPICIN RESISTANT,  DIAGNOSED ON 24/10/25
2. G2P1L1A2 - STATUS POST DILATATION AND CURRETTAGE (07/11/25)
3. STATUS POST Laparoscopic Appendicectomy (30/09/25)
4. Status post Right Dermoid OVARIAN Cyst excision with Tubectomy (07/09/25)",1,0.7%
"1.SEPTIC SHOCK
2.RIGHT LOWER LOBE  PNEUMONIA WITH SYNPNEUMONIC EFFUSION IN SEPSIS IN SEPTIC SHOCK 
3. CAD- ACS - NSTEMI WITH MODERATE LV DYSFUNCTION ( EF -40%) WITH PULMONARY EDEMA
4. SQUAMOUS CELL CARCINOMA -  GASTROESOPHAGEAL JUNCTION S/P NART AND ESOPHAGECTOMY WITH RECURRENCE AND DISTANT METASTASIS 
5. OBSTRUCTIVE AIRWAY DISEASE WITH TYPE 1 RESPIRATORY FAILURE 
6. GRADE 1 BEDSORE
7. HYPOKALEMIA (3.0) UNDER CORRECTION.",1,0.7%
"1. LOWER RESPIRATORY TRACT INFECTION WITH MODERATE PAH WITH SECONDARY INFECTION - KLEBSIELLA PNEUMONIAE
2. TYPE 2 DIABETES MELLITUS 
3. SYMPTOMATIC HYPONATREMIA (128)
4. HYPOKALEMIA (4.0) CORRECTED
5. ESOPHAGEAL CANDIDIASIS 
6. DUODENAL WORM INFESTATION 
7. BILATERAL HYDROCELE",1,0.7%
"1. BILATERAL BRONCHIECTASIS - OLD PULMONARY TUBERCULOSIS SEQUELAE WITH OBSTRUCTIVE AIRWAY DISEASE WITH CORPULMONALE WITH SEVERE PAH IN CONGESTIVE CARDIAC FAILURE WITH SECONDARY INFECTION.
2. CHOLELITHIASIS WITHOUT CHOLECYSTITIS 
3. PAN GASTRITIS WITH FUNDAL ULCERS
4. ESOPHAGEAL POLYPOIDAL LESION.
5. HYPONATREMIA (3.4) UNDER ORAL CORRECTION
6. ASYMPTOMATIC HYPONATREMIA (132)",1,0.7%
"1. MICROBIOLOGICALLY CONFIRMED EXTRA PULMONARY TUBERCULOSIS - ABDOMINAL TUBERCULOSIS - RIFAMPICIN RESISTANT,  DIAGNOSED ON 24/10/25 - STARTED ANTITUBERCULAR THERAPY ON 11/11/25, WEIGHT: 84 KGS
2. G2P1L1A2 - STATUS POST DILATATION AND CURRETTAGE (07/11/25)
3. STATUS POST LAPAROSCOPIC APPENDICECTOMY (30/09/25)
4. STATUS POST RIGHT DERMOID OVARIAN CYST EXCISION WITH TUBECTOMY (07/09/25)
5. TB PERITONITIS",1,0.7%
